entry_date,near_expiry,far_expiry,strike
2024-08-23,2024-08-29,2024-09-19,24850.0
2024-08-30,2024-09-05,2024-09-26,25250.0
2025-01-01,2025-01-02,2025-01-23,23650.0
2025-01-03,2025-01-09,2025-01-30,24200.0
2025-01-10,2025-01-16,2025-02-06,23550.0
2025-01-17,2025-01-23,2025-02-13,23300.0
2025-01-24,2025-01-30,2025-02-20,23200.0
2025-01-31,2025-02-06,2025-02-27,23300.0
2025-02-07,2025-02-13,2025-03-06,23650.0
2025-02-14,2025-02-20,2025-03-13,23100.0
2025-02-21,2025-02-27,2025-03-20,22850.0
2025-02-28,2025-03-06,2025-03-27,22450.0
2025-03-07,2025-03-13,2025-04-03,22500.0
2025-03-17,2025-03-20,2025-04-09,22400.0
2025-03-21,2025-03-27,2025-04-17,23200.0
2025-03-28,2025-04-03,2025-04-24,23600.0
2025-04-04,2025-04-09,2025-04-30,23200.0
2025-04-11,2025-04-17,2025-05-08,22700.0
2025-04-21,2025-04-24,2025-05-15,23950.0
2025-04-25,2025-04-30,2025-05-22,24300.0
2025-05-02,2025-05-08,2025-05-29,24300.0
2025-05-09,2025-05-15,2025-06-05,23900.0
2025-05-16,2025-05-22,2025-06-12,25000.0
2025-05-23,2025-05-29,2025-06-19,24600.0
2025-05-30,2025-06-05,2025-06-26,24800.0
2025-06-06,2025-06-12,2025-07-03,24750.0
2025-06-13,2025-06-19,2025-07-10,24500.0
2025-06-20,2025-06-26,2025-07-17,24800.0
2025-06-27,2025-07-03,2025-07-24,25600.0
2025-07-04,2025-07-10,2025-07-31,25450.0
2025-07-11,2025-07-17,2025-08-07,25250.0
2025-07-18,2025-07-24,2025-08-14,25100.0
2025-07-25,2025-07-31,2025-08-21,25000.0
2025-08-01,2025-08-07,2025-08-28,24750.0
2025-08-08,2025-08-14,2025-09-02,24550.0
2025-08-18,2025-08-21,2025-09-09,24950.0
2025-08-22,2025-08-28,2025-09-16,25050.0
2025-08-29,2025-09-02,2025-09-23,24450.0
2025-09-03,2025-09-09,2025-09-30,24600.0
2025-09-10,2025-09-16,2025-10-07,25000.0
2025-09-17,2025-09-23,2025-10-14,25300.0
2025-10-01,2025-10-07,2025-10-28,24600.0
2025-10-08,2025-10-14,2025-11-04,25100.0
2025-10-23,2025-10-28,2025-11-18,26050.0
2025-10-29,2025-11-04,2025-11-25,26000.0
2025-11-06,2025-11-11,2025-12-02,25600.0
2025-11-12,2025-11-18,2025-12-09,25800.0
2025-11-19,2025-11-25,2025-12-16,25900.0
2025-11-26,2025-12-02,2025-12-23,25850.0
2025-12-03,2025-12-09,2025-12-30,26000.0
2025-12-10,2025-12-16,2026-01-06,25900.0
2025-12-17,2025-12-23,2026-01-13,25900.0
2025-12-24,2025-12-30,2026-01-20,26150.0
2025-12-31,2026-01-06,2026-01-27,25950.0
2026-01-07,2026-01-13,2026-02-03,26150.0
2026-01-14,2026-01-20,2026-02-10,25650.0
2026-01-21,2026-01-27,2026-02-17,25150.0
2026-01-28,2026-02-03,2026-02-24,25250.0
2026-02-04,2026-02-10,2026-03-02,25700.0
2026-02-11,2026-02-17,2026-03-10,26000.0
2026-02-18,2026-02-24,2026-03-17,25750.0
2026-02-25,2026-03-02,2026-03-24,25500.0
2026-03-04,2026-03-10,2026-03-30,24400.0
2026-03-11,2026-03-17,2026-04-07,24250.0
2026-03-18,2026-03-24,2026-04-13,23650.0
2026-03-25,2026-03-30,2026-04-21,23000.0
2026-04-01,2026-04-07,2026-04-28,22900.0
2026-04-08,2026-04-13,2026-05-05,23850.0
2026-04-15,2026-04-21,2026-05-12,24150.0
2026-04-22,2026-04-28,2026-05-19,24450.0
2026-04-29,2026-05-05,2026-05-26,24100.0
2026-05-06,2026-05-12,2026-06-02,24150.0
2026-05-13,2026-05-19,2026-06-09,23400.0
2026-05-20,2026-05-26,2026-06-16,23450.0
2026-05-27,2026-06-02,2026-06-23,23900.0
2026-06-03,2026-06-09,2026-06-30,23400.0
2026-06-10,2026-06-16,2026-07-07,23250.0
2026-06-17,2026-06-23,2026-07-14,24050.0
2026-06-24,2026-06-30,2026-07-21,23800.0
2026-07-01,2026-07-07,2026-07-28,23900.0
2026-07-08,2026-07-14,2026-08-04,24250.0
2026-07-15,2026-07-21,2026-08-11,24100.0
2026-07-22,2026-07-28,2026-08-18,24150.0
2026-07-29,2026-08-04,2026-08-25,24200.0
2026-08-05,2026-08-11,2026-09-01,24650.0
2026-08-12,2026-08-18,2026-09-08,24450.0
2026-08-19,2026-08-25,2026-09-15,24150.0
2026-08-26,2026-09-01,2026-09-22,24350.0
